id,score,text,episode,start_time,end_time,start_frame,end_frame
LAulFI8BYtCDorbFC22p,1.0,交給我吧,1,"00:17:21,248","00:17:22,874",24964,25003
LQulFI8BYtCDorbFC22p,1.0,你泡咖啡的技術又進步了對不對,1,"00:17:32,634","00:17:35,303",25237,25301
LwulFI8BYtCDorbFC22p,1.0,下次要不要跑外場看看?,1,"00:17:38,724","00:17:40,558",25383,25427
MAulFI8BYtCDorbFC22p,1.0,我不太擅長和別人接觸,1,"00:17:40,559","00:17:42,268",25427,25468
MQulFI8BYtCDorbFC22p,1.0,你現在不就和我接觸了嗎,1,"00:17:43,020","00:17:44,979",25486,25533
NwulFI8BYtCDorbFC22p,1.0,一點也不好啊,1,"00:17:55,991","00:17:58,659",25797,25861
OAulFI8BYtCDorbFC22p,1.0,我們有兩個人,1,"00:18:00,245","00:18:02,038",25899,25942
OwulFI8BYtCDorbFC22p,1.0,我看看喔,1,"00:18:04,833","00:18:06,292",26009,26044
PQulFI8BYtCDorbFC22p,1.0,還是說你是第一次來卡拉 OK?,1,"00:18:11,173","00:18:13,674",26161,26221
PgulFI8BYtCDorbFC22p,1.0,我之前有來過,1,"00:18:15,928","00:18:17,720",26275,26318
PwulFI8BYtCDorbFC22p,1.0,你會唱Sumimi的歌嗎,1,"00:18:18,555","00:18:20,056",26338,26374
RgulFI8BYtCDorbFC22p,1.0,"大家好嗎, 真奈很好喔",1,"00:18:29,817","00:18:32,944",26608,26683
RwulFI8BYtCDorbFC22p,1.0,希望Sumimi的歌能讓大家打起精神來,1,"00:18:33,737","00:18:36,864",26702,26777
SAulFI8BYtCDorbFC22p,1.0,大家也一起唱吧,1,"00:18:37,825","00:18:39,700",26800,26845
SgulFI8BYtCDorbFC22p,1.0,還是你想唱喜歡的歌?,1,"00:18:45,040","00:18:46,874",26973,27017
SwulFI8BYtCDorbFC22p,1.0,我不唱,1,"00:18:46,875","00:18:47,875",27017,27041
TgulFI8BYtCDorbFC22p,1.0,我們都難得一起過來了,1,"00:18:52,506","00:18:53,965",27152,27187
UAulFI8BYtCDorbFC22p,1.0,剛才那首是叫什麼啊,1,"00:18:59,221","00:19:01,013",27313,27356
UgulFI8BYtCDorbFC22p,1.0,找不到耶,1,"00:19:04,560","00:19:05,935",27441,27474
VAulFI8BYtCDorbFC22p,1.0,又會以失敗收場是什麼意思?,1,"00:19:09,481","00:19:11,566",27559,27609
WAulFI8BYtCDorbFC22p,1.0,還是說是那個? 音樂性的差異?,1,"00:19:20,659","00:19:23,578",27827,27897
XAulFI8BYtCDorbFC22p,1.0,"這樣啊, 那你一定很難受吧",1,"00:19:33,755","00:19:37,008",28141,28219
XwulFI8BYtCDorbFC22p,1.0,人生這麼漫長會撐不住的喔,1,"00:19:50,939","00:19:53,983",28553,28626
YAulFI8BYtCDorbFC22p,1.0,下次說不定會奇蹟般地,1,"00:19:53,984","00:19:55,401",28626,28660
YwulFI8BYtCDorbFC22p,1.0,但我還滿想和你組樂團的,1,"00:20:01,575","00:20:04,785",28808,28885
ZQulFI8BYtCDorbFC22p,1.0,一輩子和我一起組樂團嗎,1,"00:20:11,043","00:20:14,712",29035,29123
